Id,UserId,Nome,Simbolo,TotalRevenue,GrossProfits,ProfitMargins,EbitdaMargins,CurrentPrice,TargetHighPrice,TargetMedianPrice,TargetLowPrice,EarningsGrowth,RevenueGrowth,OperatingCashflow,FinancialCurrency
0,,PST.MI,,"31,71B","2,91B","4,98%","8,39%","9,81","15,80","13,00","12,10","31,50%","-68,10%","4,18B",EUR
0,,STLA,,"149,42B","29,48B","9,50%","13,12%","15,00","32,14","25,04","21,72","248,20%","173,90%","18,65B",EUR
